id,name,age,city,state,country,zip,email,phone,registered_date
1,John Doe,30,New York,NY,USA,10001,john.doe@example.com,212-555-1234,1/1/2020
2,Jane Smith,25,San Francisco,CA,USA,94105,jane.smith@example.com,415-555-7890,2/1/2020
3,Bob Johnson,40,Chicago,IL,USA,60601,bob.johnson@example.com,312-555-5678,3/1/2020
4,Alice Williams,35,Seattle,WA,USA,98101,alice.williams@example.com,206-555-4321,4/1/2020
5,Tom Brown,28,Boston,MA,USA,2101,tom.brown@example.com,617-555-8765,5/1/2020
6,Emily Davis,32,Denver,CO,USA,80201,emily.davis@example.com,303-555-3456,6/1/2020
7,Michael Miller,45,Austin,TX,USA,73301,michael.miller@example.com,512-555-6543,7/1/2020
8,Sarah Wilson,29,Portland,OR,USA,97201,sarah.wilson@example.com,503-555-3210,8/1/2020
9,David Lee,38,Miami,FL,USA,33101,david.lee@example.com,305-555-7894,9/1/2020
10,Laura Kim,27,Atlanta,GA,USA,30301,laura.kim@example.com,404-555-6789,10/1/2020
11,Peter Jackson,34,Dallas,TX,USA,75201,peter.jackson@example.com,214-555-1234,11/1/2020
12,Olivia Harris,31,Houston,TX,USA,77001,olivia.harris@example.com,713-555-4567,12/1/2020
13,James Clark,39,Las Vegas,NV,USA,88901,james.clark@example.com,702-555-7890,1/1/2021
14,Emma Martinez,26,San Diego,CA,USA,92101,emma.martinez@example.com,619-555-2345,2/1/2021
15,William Roberts,41,Phoenix,AZ,USA,85001,william.roberts@example.com,602-555-6789,3/1/2021
16,Isabella Lewis,30,Philadelphia,PA,USA,19101,isabella.lewis@example.com,215-555-3456,4/1/2021
17,Benjamin Walker,35,Charlotte,NC,USA,28201,benjamin.walker@example.com,704-555-1234,5/1/2021
18,Sophia Hall,28,Columbus,OH,USA,43001,sophia.hall@example.com,614-555-5678,6/1/2021
19,Alexander Young,33,Indianapolis,IN,USA,46201,alexander.young@example.com,317-555-7890,7/1/2021
20,Mia King,29,San Antonio,TX,USA,78201,mia.king@example.com,210-555-4321,8/1/2021
21,Daniel Allen,37,Nashville,TN,USA,37201,daniel.allen@example.com,615-555-8765,9/1/2021
22,Charlotte Scott,32,Jacksonville,FL,USA,32099,charlotte.scott@example.com,904-555-3456,10/1/2021
23,Matthew Green,45,Fort Worth,TX,USA,76101,matthew.green@example.com,817-555-6543,11/1/2021
24,Amelia Baker,31,Memphis,TN,USA,37501,amelia.baker@example.com,901-555-3210,12/1/2021
25,Lucas Nelson,38,El Paso,TX,USA,79901,lucas.nelson@example.com,915-555-7894,1/1/2022
26,Evelyn Carter,26,Detroit,MI,USA,48201,evelyn.carter@example.com,313-555-6789,2/1/2022
27,Henry Mitchell,34,Washington,DC,USA,20001,henry.mitchell@example.com,202-555-1234,3/1/2022
28,Abigail Perez,29,Louisville,KY,USA,40201,abigail.perez@example.com,502-555-4567,4/1/2022
29,Mason White,40,Baltimore,MD,USA,21201,mason.white@example.com,410-555-7890,5/1/2022
30,Sofia Thompson,27,Milwaukee,WI,USA,53201,sofia.thompson@example.com,414-555-2345,6/1/2022
31,Logan Adams,36,Albuquerque,NM,USA,87101,logan.adams@example.com,505-555-6789,7/1/2022
32,Charlotte Collins,33,Fresno,CA,USA,93650,charlotte.collins@example.com,559-555-3456,8/1/2022
33,James Alexander,39,Tucson,AZ,USA,85701,james.alexander@example.com,520-555-7890,9/1/2022
34,Victoria Evans,31,New Orleans,LA,USA,70112,victoria.evans@example.com,504-555-1234,10/1/2022
35,Elijah Turner,45,Cleveland,OH,USA,44101,elijah.turner@example.com,216-555-5678,11/1/2022
36,Madison Roberts,27,Sacramento,CA,USA,94203,madison.roberts@example.com,916-555-7890,12/1/2022
37,Aiden Bennett,38,Kansas City,MO,USA,64101,aiden.bennett@example.com,816-555-4321,1/1/2023
38,Harper Murphy,26,Virginia Beach,VA,USA,23450,harper.murphy@example.com,757-555-8765,2/1/2023
39,David Richardson,34,Atlanta,GA,USA,30301,david.richardson@example.com,404-555-3456,3/1/2023
40,Isabella Bell,30,Colorado Springs,CO,USA,80901,isabella.bell@example.com,719-555-6543,4/1/2023
41,Daniel Simmons,36,Miami,FL,USA,33101,daniel.simmons@example.com,305-555-3210,5/1/2023
42,Chloe Lee,29,Oakland,CA,USA,94601,chloe.lee@example.com,510-555-7894,6/1/2023
43,Jack Kelly,37,Minneapolis,MN,USA,55401,jack.kelly@example.com,612-555-6789,7/1/2023
44,Elizabeth Barnes,32,Las Vegas,NV,USA,88901,elizabeth.barnes@example.com,702-555-1234,8/1/2023
45,Michael Ross,41,New York,NY,USA,10001,michael.ross@example.com,212-555-5678,9/1/2023
46,Charlotte Cooper,28,Dallas,TX,USA,75201,charlotte.cooper@example.com,214-555-7890,10/1/2023
47,Ethan Stewart,35,Houston,TX,USA,77001,ethan.stewart@example.com,713-555-4321,11/1/2023
48,Mia Ward,30,Los Angeles,CA,USA,90001,mia.ward@example.com,213-555-8765,12/1/2023
49,James Parker,33,Phoenix,AZ,USA,85001,james.parker@example.com,602-555-3456,1/1/2024
50,Amelia Scott,40,San Antonio,TX,USA,78201,amelia.scott@example.com,210-555-6543,2/1/2024
